winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,sweet,acidic,link,img,full_name,wine_id
Teeter-Totter,Chardonnay 2015,미국,Napa Valley,White wine,Chardonnay,4.6,"₩130,000",130000,oaky, tropical,1.0,0.3283417354177921,0.5053759498972913,https://www.vivino.com/teeter-totter-chardonnay/w/4806486?year=2015&price_id=23467571,https://images.vivino.com/thumbs/t_Sl_TN5Q-GHPmHSDHHjHw_pb_x600.png,Teeter-Totter/Chardonnay 2015,373
Antinori,Castello della Sala Cervaro della Sala 2018,이탈리아,Umbria,White wine,Chardonnay,4.5,"₩180,000",180000,oaky, tree fruit,0.5589848046543489,0.4765013827994465,0.7502778571104792,https://www.vivino.com/antinori-tuscany-castello-della-sala-cervaro-della-sala/w/1688?year=2018&price_id=21493509,https://images.vivino.com/thumbs/VP8oc23LS7-YOEpFUeDd3A_pb_x600.png,Antinori/Castello della Sala Cervaro della Sala 2018,14
Markus Molitor,Zeltinger Sonnenuhr Riesling Auslese*** 2015,독일,Mosel,White wine,Riesling,4.5,"₩300,000",300000,earthy, tree fruit,0.5439450214587617,0.563349443560067,0.9550004000349751,https://www.vivino.com/de-markus-molitor-zeltinger-sonnenuhr-riesling-auslese/w/2581810?year=2015&price_id=23482824,https://images.vivino.com/thumbs/9_r2eLAMRkKYEpisbAka-g_pb_x600.png,Markus Molitor/Zeltinger Sonnenuhr Riesling Auslese*** 2015,266
Markus Molitor,Zeltinger Sonnenuhr Riesling Auslese*** 2012,독일,Mosel,White wine,Riesling,4.5,"₩300,000",300000,earthy, tree fruit,0.5439450214587617,0.563349443560067,0.9550004000349751,https://www.vivino.com/de-markus-molitor-zeltinger-sonnenuhr-riesling-auslese/w/2581810?year=2012&price_id=23482826,https://images.vivino.com/thumbs/9_r2eLAMRkKYEpisbAka-g_pb_x600.png,Markus Molitor/Zeltinger Sonnenuhr Riesling Auslese*** 2012,265
Markus Molitor,Zeltinger Sonnenuhr Riesling Auslese*** 2002,독일,Mosel,White wine,Riesling,4.5,"₩300,000",300000,earthy, tree fruit,0.5439450214587617,0.563349443560067,0.9550004000349751,https://www.vivino.com/de-markus-molitor-zeltinger-sonnenuhr-riesling-auslese/w/2581810?year=2002&price_id=23482823,https://images.vivino.com/thumbs/9_r2eLAMRkKYEpisbAka-g_pb_x600.png,Markus Molitor/Zeltinger Sonnenuhr Riesling Auslese*** 2002,263
Dr. Loosen,Riesling Erdener Pralat Alte Reben Dry 2013,독일,Mosel,White wine,Riesling,4.5,"₩400,000",400000,earthy, citrus,0.46159048202280595,0.2972830368824288,0.9958621769284102,https://www.vivino.com/dr-loosen-riesling-erdener-pralat-alte-reben-dry/w/1787123?year=2013&price_id=24530145,https://images.vivino.com/thumbs/crD5o8QeQSuZRB3bHGCyeg_pb_x600.png,Dr. Loosen/Riesling Erdener Prälat Alte Reben Dry 2013,119
Isole e Olena,Chardonnay Toscana Collezione Privata 2019,이탈리아,Toscana,White wine,Chardonnay,4.4,"₩79,832",79832,None],,,,,https://www.vivino.com/isole-e-olena-chardonnay-toscana-collezione-privata/w/1240491?year=2019&price_id=29936557,https://images.vivino.com/thumbs/dweGkipgSmixb2EooyDYyQ_pb_x600.png,Isole e Olena/Chardonnay Toscana Collezione Privata 2019,207
Dr. Loosen,Riesling Erdener Pralat Alte Reben Dry 2014,독일,Mosel,White wine,Riesling,4.4,"₩400,000",400000,earthy, citrus,0.46159048202280595,0.2972830368824288,0.9958621769284102,https://www.vivino.com/dr-loosen-riesling-erdener-pralat-alte-reben-dry/w/1787123?year=2014&price_id=24530146,https://images.vivino.com/thumbs/crD5o8QeQSuZRB3bHGCyeg_pb_x600.png,Dr. Loosen/Riesling Erdener Prälat Alte Reben Dry 2014,120
Diora,La Splendeur du Soleil Chardonnay 2020,미국,Monterey,White wine,Chardonnay,4.4,"₩80,000",80000,oaky, tree fruit,0.8757970392734697,0.6215418797099083,0.4646256378576257,https://www.vivino.com/diora-la-splendeur-du-soleil-chardonnay-monterey/w/7445729?year=2020&price_id=30003965,https://images.vivino.com/thumbs/GVydrVhfTiSzHllzMBbsjQ_pb_x600.png,Diora/La Splendeur du Soleil Chardonnay 2020,91
Cave de Turckheim,Pinot Gris Alsace Grand Cru Hengst 2011,프랑스,Alsace Grand Cru,White wine,Pinot Gris,4.4,"₩79,780",79780,earthy, tree fruit,0.5807623009421197,0.4822622993774262,0.4070552793841789,https://www.vivino.com/cave-de-turckheim-pinot-gris-alsace-grand-cru-hengst/w/87963?year=2011&price_id=19190701,https://images.vivino.com/thumbs/bsXkWWlhSFGPnxIU6gL81A_150x200.jpg,Cave de Turckheim/Pinot Gris Alsace Grand Cru Hengst 2011,53
Rupert & Rothschild,Baroness Nadine 2018,남아프리카,Western Cape,White wine,Chardonnay,4.3,"₩86,428",86428,oaky, citrus,0.6861405828015789,0.28653829932717517,0.6292778043504484,https://www.vivino.com/rupert-and-rothschild-vignerons-baroness-nadine/w/12437?year=2018&price_id=23138369,https://images.vivino.com/thumbs/StYkIgMWTRaq_pEXX8APnw_pb_x600.png,Rupert & Rothschild/Baroness Nadine 2018,329
Little Beauty,Sauvignon Blanc 2019,뉴질랜드,Marlborough,White wine,Sauvignon Blanc,4.3,"₩60,000",60000,citrus, tropical,0.36148660322828896,0.03968140875049129,0.8806174261179986,https://www.vivino.com/little-beauty-sauvignon-blanc/w/1758778?year=2019&price_id=21493619,https://images.vivino.com/thumbs/SMbI_VdUTkKpqAc1n-Z76A_pb_x600.png,Little Beauty/Sauvignon Blanc 2019,243
