index,src,tar
1,와인,-
2,뭐,-
3,마실까,-
1,화이트와인,category
2,와인,-
3,추천해줘,-
1,달콤했으면,sweet
2,분위기,-
3,좋은,-
4,와인,-
5,추천해줘,-
1,와인,-
2,처음,-
3,먹어보는데,-
4,헤비한거,bold
5,느낌있는,-
6,걸로,-
7,추천,-
8,해줄래,-
1,저녁에,-
2,마실,-
3,산도가적당함,acidic
4,와인이,-
5,있을까,-
1,파티할,-
2,때,-
3,마실,-
4,십만원,-
5,넘어도,-
6,와인,-
7,좀,-
8,추천해줘,-
1,쌉쓰름하고,tannic
2,와인,-
3,추천해줘,-
1,달짝지근하게,sweet
2,와인,-
3,추천해줘,-
4,종류는,-
5,레드와인,category
6,,-
1,레드와인,category
2,와인,-
3,중에,-
4,안무겁게,bold
5,와인,-
6,있어,-
1,상큼한거,acidic
2,레드와인,category
3,와인,-
4,있을까,-
1,친구들이랑,-
2,마실건데,-
3,90000정도의,-
4,레드와인,category
5,와인,-
6,추천,-
1,화날,-
2,때,-
3,먹을,-
4,드라이한걸로,sweet
5,미디엄,bold
6,와인,-
7,있어,-
8,,-
1,조금시큼한,acidic
2,40000원,-
3,넘어도,-
4,취하지,-
5,않게,-
6,기분만,-
7,낼,-
8,수,-
9,있는,-
10,와인,-
11,추천해줘,-
12,,-
1,산미,acidic
2,와인,-
3,있으면,-
4,추천해줘,-
5,단게,sweet
6,,-
1,안단걸로,sweet
2,10000이하,-
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,가볍지않게,bold
2,느낌을,-
3,주는,-
4,시지않으며,acidic
5,맛이,-
6,괜찮은,-
7,와인,-
8,추천해줘,-
9,,-
1,기분을,-
2,달래줄,-
3,파워풀한,bold
4,느낌의,-
5,15만대,-
6,와인,-
7,추천해줘,-
8,,-
1,탄닌이있는,tannic
2,달짝지근했으면,sweet
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,쌉쓰름하고,tannic
2,60만원쯤의,-
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,쌉싸래한,tannic
2,헤비,bold
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,타닌감이높은,tannic
2,상큼한,acidic
3,의,-
4,와인,-
5,추천해줘,-
6,,-
1,달달하지않은,sweet
2,맛에,-
3,단단한,bold
4,느낌으로,-
5,시지만,acidic
6,추천해줘,-
7,,-
1,와인,-
2,중에,-
3,스위트한거로,sweet
4,안무거운거로,bold
5,느낌의,-
6,와인,-
7,추천해줘,-
8,80000원보다,-
9,비싼,-
10,,-
1,안달달했으면,sweet
2,와인,-
3,중에,-
4,조금시큼하며,acidic
5,30000원쯤의,-
6,와인,-
7,추천해줘,-
8,,-
1,신맛,acidic
2,와인,-
3,중에서,-
4,육십만보다,-
5,저렴한,-
6,추천,-
7,해줄래,-
8,바디감은,-
9,무겁고,bold
10,,-
11,,-
1,화이트와인,category
2,에,-
3,헤비한거로,bold
4,느낌을,-
5,주는,-
6,단,sweet
7,맛의,-
8,와인,-
9,,-
1,선물로,-
2,구매할,-
3,안달게,sweet
4,와인,-
5,중에,-
6,안시고,acidic
7,맛의,-
8,레드와인,category
9,와인,-
10,보여줘,-
1,오만원이하,-
2,달짝지근하게,sweet
3,맛,-
4,좀,-
5,내는,-
6,레드와인,category
7,와인,-
1,시고,acidic
2,와인으로,-
3,풀인거로,bold
4,느낌을,-
5,주는,-
6,레드와인,category
7,추천,-
1,싸우고,-
2,화해할,-
3,진했으면,bold
4,느낌있는,-
5,육십만원보다,-
6,낮은,-
7,와인,-
8,레드와인,category
9,로,-
10,추천해줘,-
11,,-
1,레드와인,category
2,와인,-
3,중에서,-
4,마실,-
5,때,-
6,적당히신,acidic
7,맛나는,-
8,6만대,-
9,와인,-
1,달달하고,sweet
2,맛에,-
3,끈적한걸로,bold
4,느낌으로,-
5,매끄러운,tannic
6,추천해줘,-
7,,-
1,달짝지근했으면,sweet
2,맛에,-
3,타닌감이강한,tannic
4,느낌으로,-
5,상큼,acidic
6,추천해줘,-
7,,-
1,당도가낮은,sweet
2,맛에,-
3,6만원대,-
4,느낌으로,-
5,쌉쌀한,tannic
6,추천해줘,-
7,,-
1,타닌감이보통인,tannic
2,맛에,-
3,끈적,bold
4,느낌으로,-
5,신맛이없는,acidic
6,추천해줘,-
7,,-
1,바디감높은,bold
2,맛에,-
3,씁쓸하고,tannic
4,느낌으로,-
5,400000원쯤,-
6,추천해줘,-
7,,-
1,상큼하게,acidic
2,맛에,-
3,안씁쓸한,tannic
4,느낌으로,-
5,300000원쯤의,-
6,추천해줘,-
7,,-
1,안달달하고,sweet
2,풀인거로,bold
3,느낌,-
4,있는,-
5,신맛,acidic
6,화이트와인,category
7,와인,-
8,있을까,-
1,달달하지않은거,sweet
2,마실,-
3,때,-
4,찐한,bold
5,느낌,-
6,주는,-
7,40만대,-
8,의,-
9,레드와인,category
10,와인,-
11,추천,-
12,부탁해,-
1,달달하지않은걸로,sweet
2,레드와인,category
3,와인인데,-
4,산미가조금있는,acidic
5,2만원,-
6,와인,-
7,추천해줘,-
1,와인,-
2,잘,-
3,모르는데,-
4,시큼,acidic
5,화이트와인,category
6,와인으로,-
7,헤비,bold
8,칠만원쯤,-
9,추천해줘,-
1,간단하게,-
2,마실,-
3,스위트하게,sweet
4,목,-
5,넘김은,-
6,헤비한거로,bold
7,느낌으로,-
8,신맛,acidic
9,15만원이하,-
10,와인,-
11,추천해줘,-
12,,-
1,당도가있는,sweet
2,찐한,bold
3,느낌,-
4,있는,-
5,상큼한거로,acidic
6,타닌강한,tannic
7,와인,-
8,있을까,-
1,덜달게,sweet
2,무겁지않고,bold
3,느낌,-
4,있는,-
5,덜씁쓸한,tannic
6,오십만원이하,-
7,와인,-
8,있을까,-
1,달달하며,sweet
2,떫지않은거로,tannic
3,느낌,-
4,있는,-
5,시고,acidic
6,40만원,-
7,어치,-
8,와인,-
9,있을까,-
1,씁쓸한,tannic
2,묵직하고,bold
3,느낌,-
4,있는,-
5,안시게,acidic
6,200000원대,-
7,와인,-
8,있을까,-
1,안시며,acidic
2,레드와인,category
3,와인으로,-
4,당도는,-
5,많이달지않은,sweet
6,바디감은,-
7,헤비하고,bold
8,추천해줘,-
9,가격은,-
10,6만정도,-
11,,-
1,안시고,acidic
2,적당히타닌,tannic
3,느낌의,-
4,당도는,-
5,달달하지않게,sweet
6,바디감은,-
7,섬세한,bold
8,추천해줘,-
9,가격은,-
10,육십만보다,-
11,저렴한,-
12,,-
1,아무,-
2,포도주나,-
3,추천해줘,-
1,화이트와인,category
2,와인,-
3,추천해줘,-
1,덜단것으로,sweet
2,분위기,-
3,좋은,-
4,와인,-
5,추천해줘,-
1,와인,-
2,처음,-
3,먹어보는데,-
4,미디엄,bold
5,느낌있는,-
6,걸로,-
7,추천,-
8,해줄래,-
1,저녁에,-
2,마실,-
3,상큼한,acidic
4,와인이,-
5,있을까,-
1,파티할,-
2,때,-
3,마실,-
4,10000원,-
5,넘어도,-
6,와인,-
7,좀,-
8,추천해줘,-
1,씁쓸하지않고,tannic
2,와인,-
3,추천해줘,-
1,적당히달달한,sweet
2,와인,-
3,추천해줘,-
4,종류는,-
5,레드와인,category
6,,-
1,화이트와인,category
2,와인,-
3,중에,-
